	mean	total	bio	tech	p.value	FDR
TIMP1	7.86709632160163	24.2773947708697	14.521193749592	9.75620102127772	3.1982518755065e-231	2.10988676227164e-227
KRT81	4.13544171576234	27.1241059275866	12.1073346733105	15.0167712542761	1.14030725678216e-87	3.00904278919677e-84
TPT1	10.1176738428334	17.5285486496608	10.5118712976971	7.01667735196367	1.57150703640845e-233	2.07344638383731e-229
FN1	7.71819936714799	20.4358311308409	10.4574221250506	9.97840900579027	8.77594389293711e-134	3.85966012411374e-130
SAA1	3.4789139910594	23.1964357545348	8.66293417245515	14.5335015820797	2.74142138367708e-53	5.16718767660505e-50
IFI27	4.15591137348024	23.0513013039782	8.03271407945471	15.0185872245235	1.73976855461597e-44	1.53030042064021e-41
TAGLN	3.99287904410198	22.1045440895077	7.15417177646374	14.9503723130439	6.14839623383123e-37	4.50677443939829e-34
MT1X	6.05401062809242	19.5216664987883	6.8387850337172	12.6828814650711	4.29841208592593e-45	4.05094636155048e-42
TGM2	6.62441997023429	18.2100136735906	6.51110507945339	11.6989085941372	1.54301996516337e-47	1.69655045169713e-44
KRT19	3.39933991713128	20.7918560026738	6.36549453676632	14.4263614659075	2.98788074991678e-32	1.877242791162e-29
AKAP12	7.44063569491179	16.6378289878706	6.22446459003279	10.4133643978378	1.54632141455187e-53	3.40036079059956e-50
HIST1H4C	6.39071076716159	18.0276075057493	5.99190884988961	12.0356986558597	1.82822892949638e-39	1.41892073504561e-36
RARRES1	4.08472827462857	20.7645790718544	5.75933747851722	15.0052415933371	1.49510040315653e-25	7.8905418876989e-23
MT1E	7.81859804845595	15.5824033026283	5.75488304584167	9.82752025678666	9.70376328990084e-52	1.28031452846952e-48
CENPF	4.66121870241703	20.2136747528235	5.29585964263668	14.9178151101868	1.93580034165257e-22	8.51364990258801e-20
SERPINE1	8.23324339691744	14.5150273844362	5.25662237460789	9.25840500982828	3.8182732832782e-49	4.57984524541569e-46
TFPI2	5.20727951678479	19.4585282871293	5.22059050012891	14.2379377870004	1.11684643484008e-23	5.08126615906208e-21
IGFBP5	2.01236389552981	16.15402191995	5.2132931685508	10.9407287513992	1.12140008431223e-36	7.78723826969242e-34
CCDC80	5.54682811043964	18.6483909082604	5.05734129870008	13.5910496095604	2.88693569741106e-24	1.36036534255863e-21
IGFBP4	4.59939001023172	19.9203468614219	4.95178985026739	14.9685570111545	5.79621466592908e-20	2.06689881898022e-17
ISG15	3.63342520897478	19.6172644248656	4.92961215801482	14.6876522668508	1.90615385836464e-20	6.98605389090641e-18
SERPINE2	3.3113235482948	19.1681361524978	4.87423074233583	14.293905410162	5.44059365185843e-21	2.11127037184177e-18
UBE2S	6.79268623268478	16.2865666360969	4.83760874934714	11.4489578867498	5.34874840035923e-30	3.2077902906518e-27
PMEPA1	4.40650637646066	19.7743519311133	4.75590342813151	15.0184485029818	1.41753853819381e-18	4.92184301919186e-16
TGFBI	6.78894087894401	16.1939934695522	4.73931619388553	11.4546772756666	5.80768194148948e-29	3.33158937113097e-26
SLPI	2.83063868742724	17.959496986168	4.56749808787216	13.3919988982959	5.36311988518028e-21	2.11127037184177e-18
KRT7	9.53716346093795	12.2396698481014	4.56358560458519	7.6760842435162	4.6523563502823e-53	7.67289871070308e-50
CXCL8	2.8100410854804	17.8966786756521	4.55102194463576	13.3456567310164	5.42677108514365e-21	2.11127037184177e-18
IFI6	2.21918578633812	16.200529320297	4.52563876316986	11.6748905571271	5.61853695575957e-26	3.08879069142883e-23
COL1A1	3.49861960725078	19.0236887749771	4.46842020530486	14.5552685696722	1.1898169164602e-17	4.02524215276304e-15
TOP2A	3.80396653333529	19.2242228850974	4.37547638868708	14.8487464964103	1.6668976434582e-16	5.23643988280655e-14
DIRAS3	2.20432097553346	15.9940595133508	4.36882183574124	11.6252376776096	1.14210450282675e-24	5.58108400381339e-22
MALAT1	12.6952544597077	8.85463819038167	4.21247138775942	4.64216680262225	3.2969672494684e-106	1.08750464723715e-102
ZFAS1	7.04871026525047	15.2518472157396	4.20549349394634	11.0463537217933	3.30084244109455e-25	1.67505058337698e-22
TPX2	4.4711936764026	19.2209206726002	4.19237742200448	15.0285432505957	4.28297011771983e-15	1.15325525986113e-12
MKI67	3.75610600044465	18.9687676137278	4.15292650500863	14.8158411087192	3.26255471223146e-15	8.96794726524624e-13
PLOD2	4.44604172867369	19.0354555256318	4.00721039691809	15.0282451287137	4.96852165115847e-14	1.1706191904533e-11
IGFBP3	3.76349608075976	18.8072143351764	3.98566014067187	14.8215541945046	3.18588447404436e-14	7.64264722737113e-12
MT1M	2.50219927508969	16.3268084710811	3.77963704915579	12.5471714219253	4.12808346970904e-17	1.36164833248353e-14
RBP1	4.48621174722867	18.7573284202264	3.73089753634668	15.0264308838797	1.63937161479499e-12	3.22833866949329e-10
SPARC	5.60306336082431	17.2207117102793	3.69981110746488	13.5209006028145	1.24856254460975e-14	3.10821400256246e-12
LXN	4.44884645449577	18.6858567897038	3.65732674490894	15.0285300447949	4.05849926462864e-12	7.54194919683244e-10
S100A2	3.40443592036472	18.0578673785332	3.62347514359294	14.4343922349403	9.84316420863552e-13	2.02922982138652e-10
ALDH1A3	3.00661007772775	17.2786206182008	3.50778025860981	13.770840359591	4.91654901133547e-13	1.06342537140263e-10
IGFBP6	6.43449752020651	15.2822929485207	3.31585791592635	11.9664350325944	6.24049570437633e-15	1.64674200647083e-12
CXCL1	2.11960322690923	14.6245778748317	3.29371043601575	11.3308674388159	3.84608912263349e-16	1.18012325311689e-13
NNMT	6.1226637657555	15.8322616394467	3.29160777331131	12.5406538661354	1.11792994435592e-13	2.49999452302237e-11
ID3	6.42021970841124	15.2343185477648	3.2458349579759	11.9884835897889	2.21725004440186e-14	5.41748094182187e-12
SNCG	2.17358666896245	14.7618123738006	3.24364400290434	11.5181683708962	2.50016002775019e-15	7.01853434173107e-13
GPRC5A	5.37184660304523	17.0875337298882	3.23227289311731	13.8552608367709	2.47530703487112e-11	4.35456013574528e-09
IGFBP7	4.5512772238086	18.0991057455243	3.09837810283123	15.0007276426931	2.25454952171714e-09	3.03535983566693e-07
NQO1	5.44961702818728	16.804143640634	3.092448614181	13.711695026453	9.56846428559137e-11	1.55859651585299e-08
BNIP3	5.39918154777955	16.8169247854828	3.01631042719007	13.8006143582927	3.12965626756296e-10	4.74628560853168e-08
G0S2	2.2576495386499	14.7938582935541	2.99517281339953	11.7986854801546	5.79229477377469e-13	1.23263769750296e-10
MDK	5.03846853153833	17.5827088861866	2.97578314152096	14.6069257446656	3.54125425773434e-09	4.4498389215759e-07
AREG	2.33394756181491	14.9567107641963	2.91211503929397	12.0445957249023	5.41185880246892e-12	9.9172312555243e-10
BST2	2.6026375885126	15.7301616395445	2.90503494533249	12.825126694212	8.08470858754012e-11	1.33337056380006e-08
UBB	3.73231345945702	17.6949245491472	2.89938371847071	14.7955408306764	1.19427332583429e-08	1.43247656918705e-06
MT2A	12.3619872602138	7.76305918213537	2.86922412861227	4.8938350535231	7.64268200792782e-52	1.12041718236222e-48
TFPI	4.47690517828659	17.8617778025986	2.83384572603236	15.0279320765663	3.67250871290934e-08	3.78555312172858e-06
KISS1	1.77393926203405	12.8384864881908	2.83294248949073	10.0055439987001	1.83055731956878e-15	5.36719406097566e-13
NPPB	0.994213551879691	9.17794873317249	2.82744830005733	6.35050043311516	9.68121570693559e-33	6.38669800186541e-30
TUBB4B	6.0198537148301	15.5747158747374	2.82061045730169	12.7541054174357	2.02183651611668e-10	3.13836599925218e-08
PTTG1	4.36590881225025	17.83127031259	2.81988028277309	15.0113900298169	4.09131174111769e-08	4.13300575122418e-06
FGF2	3.39913509032154	17.2217566918321	2.79572194224528	14.4260347495868	1.66575237964411e-08	1.92788920149337e-06
HMGA1	8.09414206403453	12.2212449411509	2.78298272552484	9.43826221562611	1.60073223117361e-16	5.15123440441576e-14
SAT1	3.80460958109494	17.6214377802641	2.77230689169668	14.8491308885674	4.85614140808826e-08	4.81250945720378e-06
CXCL6	2.30884768297014	14.7301839271912	2.76604400920212	11.9641399179891	3.57844860506759e-11	6.13169492146258e-09
KCNQ1OT1	7.87137572032549	12.5010459172261	2.75108532654538	9.7499605906807	2.23361039345604e-15	6.40657728940414e-13
WNT5A	2.83900124105931	16.0819714095139	2.67156735184816	13.4104040576657	7.20744739732984e-09	8.80509823707129e-07
COL3A1	2.2239471421466	14.3595511152098	2.66904186966783	11.6905092455419	5.92230120469084e-11	9.89099267021404e-09
SPINT2	2.66842946215133	15.6559890916598	2.65798180841704	12.9980072832428	3.13391792748929e-09	4.01445758595085e-07
LMAN1	5.58121357640574	16.1980767420226	2.64850076654445	13.5495759754782	1.28912399203301e-08	1.53231549107059e-06
XIST	3.51571361817381	17.219485002783	2.64635807744274	14.5731269253402	1.02834688412603e-07	9.2299379518087e-06
COL5A2	3.45059304342773	17.143811635032	2.64442586685938	14.4993857681726	9.16592817030662e-08	8.45701092860318e-06
RPS27L	6.59770753363555	14.3789280706684	2.64184770633072	11.7370803643377	1.03347702689634e-10	1.66288974303296e-08
LMO4	5.34725587242139	16.5198438637522	2.61225359471661	13.9075902690355	4.1035603563011e-08	4.13300575122418e-06
LY6E	6.41945818443328	14.5967504720772	2.60707598187242	11.9896744902047	3.77597358710862e-10	5.53557727870124e-08
LCN2	1.92523820318349	13.2138398325151	2.60335584388507	10.61048398863	2.8154239863464e-12	5.30667201083634e-10
RPL22L1	5.04481323027484	17.1933287579716	2.59774756369249	14.5955811942791	1.73059120604879e-07	1.51214704454356e-05
GSTO1	5.58099924034045	16.1402569570441	2.59040838570603	13.5498485713381	2.48168776133996e-08	2.72861569359329e-06
UQCRFS1	5.73470958630131	15.8797145567858	2.56415842711318	13.3155561296726	2.0090375674938e-08	2.24637641233163e-06
SRGN	3.39530402398378	16.98241854184	2.56255158736454	14.4198669544755	1.79921221001753e-07	1.56176354598496e-05
LOXL2	3.41942137214088	16.9987474635251	2.54178828945098	14.4569591740741	2.35508162036885e-07	1.96664220880675e-05
IFITM3	5.4849106170597	16.1291712616963	2.46868177364028	13.660489488056	1.16746038734407e-07	1.04077515882551e-05
UCA1	2.65528427908226	15.4204728163609	2.45523016758503	12.9652426487759	3.25823693969673e-08	3.47865838516374e-06
MYH9	6.08624034860341	15.0469319663549	2.43106871395371	12.6158632524012	1.96945892903041e-08	2.22094368458353e-06
DMKN	3.82209652332986	17.2845791523641	2.42544742375599	14.8591317286082	1.33261335308402e-06	9.30291036010081e-05
AKR1B1	5.11544694388443	16.8748746085027	2.42211146228331	14.4527631462194	7.39701014989093e-07	5.67419487893378e-05
S100A4	2.05478988104082	13.5141250421171	2.41801381478676	11.0961112273303	3.48907803397878e-10	5.23123813412682e-08
SAA2	1.57603379142358	11.5301021084443	2.37318625024642	9.1569158581979	2.11170085010544e-13	4.64363016938186e-11
IL33	1.63234695266523	11.7726513909391	2.36789415361972	9.40475723731935	8.56188344870405e-13	1.79310301940002e-10
TPM2	6.63791368712363	14.0271856958918	2.347732847113	11.6794528487788	5.43678592543693e-09	6.70401434581447e-07
TXNIP	5.57817036672678	15.9005130581079	2.34708282951564	13.5534302285923	3.41823207596827e-07	2.7500093908735e-05
CYP1B1	3.30201487141665	16.6194918210622	2.33871707170892	14.2807747493533	1.24014002051493e-06	8.70340820780531e-05
