	Top	Gene	logFC.vs.2	logFC.vs.3	logFC.vs.4	logFC.vs.5	logFC.vs.6	logFC.vs.7	FDR.vs.2	FDR.vs.3	FDR.vs.4	FDR.vs.5	FDR.vs.6	FDR.vs.7
256	1	IFI6	-0.294001917569074	-5.83240898551289	-1.68912133361508	-1.19734649189261	-0.542829240319616	0.0604659588972012	0.0393114074204309	0	1.4208499049323e-29	1.57305582902824e-10	0.00164945260872536	0.767229102532854
543	1	DIRAS3	0.246851608440116	-0.577811759883413	-5.15036531991196	-4.970283191894	0.493494010270459	0.470811925885351	0.11042871886515	0.000419390940674629	0	7.50514861463558e-278	0.00237409336239173	0.0155279460896459
5343	1	RARRES2	-0.549427948732915	-0.982277477753412	-0.421658326395856	-0.623125014034417	-4.2896902602317	-5.84100380772651	4.03743030857209e-06	5.63552213794088e-13	0.000254289768380858	9.60453943574042e-05	2.40839513255796e-184	0
5497	1	TIMP1	-0.587193753293539	-5.26818506229974	-6.44634686015308	-5.7478456723531	-3.4501353459207	-0.935017440078908	0.00192807682121359	1.04719320994014e-313	0	1.23855340493359e-318	3.17731021957604e-106	0.000140914829834128
8864	1	TPT1	-0.0755015843934389	1.23459567961658	0.049033690796597	0.373469352105397	6.50184098738545	7.54549834254468	0.129863279519392	1.1117291396451e-141	0.347139247539088	4.81339365491065e-11	0	0
12312	1	SPINT2	-4.08297607742055	-0.932377881136631	0.538250309343048	0.61697886269995	-0.853079118449825	-3.28005325049779	1.5547425007836e-299	8.64161917870643e-10	0.00121483569463428	0.00844587484188002	2.5234002814484e-06	3.42584122249865e-125
572	2	IFI44L	-0.295428591605654	-4.48918760354812	-1.14283524111966	-0.563219054482454	0.0837841050227544	0.0345525575431949	0.0337294202408793	0	1.20312516564121e-14	0.00276531009804408	0.600390795588552	0.857751689301747
2087	2	FN1	-3.69145373541882	1.63966812791705	-1.5178474768976	-0.637972574351162	-0.49632847019789	0.314122015048998	1.96488421460752e-246	7.99177844927812e-27	5.3492873394816e-42	5.93913326876496e-05	0.00129990739088604	0.123178331706779
2097	2	IGFBP5	-1.37991792301398	-0.796242220604209	-6.59039759390731	-4.82600407499892	-0.32957039787582	-0.225308749311224	1.06559659656533e-12	3.92246071297867e-05	0	4.72692715344257e-137	0.133642036211952	0.39299804500399
5594	2	XIST	-0.124398683684683	-3.19978122491585	-4.26840301813921	-3.66355294873948	-4.42882886540075	-4.4439901214164	0.236341715725132	4.55307784305296e-117	1.3945668303041e-225	5.26862997834757e-121	1.66897661673794e-212	1.28994974992081e-193
177	3	CAMK2N1	-1.67695272367104	-0.329133042181829	-2.08367994543577	-2.39444356169555	-2.98993795085512	-4.83343408553472	9.09918217192463e-30	0.037583952026626	8.15752265375202e-44	1.57023585742221e-42	7.54034662737068e-87	2.04661058387685e-235
2367	3	RPSA	0.779716801898409	2.53926147792471	0.713601500439748	0.568729021590319	1.11090611635517	0.993771066020737	4.99473063079746e-62	0	1.04775773653925e-46	4.70571713233162e-21	3.2751762505249e-65	3.00802998750177e-46
2831	3	RARRES1	-1.75389751537794	-4.18976167004886	-4.621940342889	-3.54227434930005	-5.80311879114334	-6.29047389016332	1.0488345998448e-17	4.09157919551811e-112	7.18262285527914e-142	5.90341842654794e-57	2.07168949742069e-209	6.3208182071348e-233
10182	3	MT2A	-2.55167562667574	-2.89796320073355	-3.42216889982487	-3.42482064785755	-1.99217298128499	-0.97717297387901	2.25780864904152e-153	1.91457668336089e-187	2.53151802578154e-231	9.2954655886637e-204	2.76939175698862e-71	6.96335466597252e-15
11635	3	SLPI	-5.09059859886927	0.0444219321660571	-2.53635799883909	-0.311300580423069	-3.29465604228379	-4.31177683008198	3.28534632978231e-242	0.863780795106267	9.75076938035007e-47	0.30869839519595	2.11245218381406e-71	1.76639094085607e-120
1542	4	RPS27A	0.652612230003265	1.45908746911895	1.34328000433576	1.38515712716068	1.8203511536652	1.79181343301492	2.04274880727278e-67	3.10967843232193e-240	9.57820251475829e-196	9.40393822045205e-147	4.71200536670509e-199	1.24205090299828e-172
3187	4	CXCL1	-5.04637568857535	-0.503905067991426	-4.06749608390566	-2.85203733754104	-0.312578790836294	-0.218152792774031	4.57936304809438e-220	7.46048374879234e-05	1.86665960827734e-128	1.89750826608895e-44	0.0181083371120283	0.111869370938746
6301	4	IL33	-0.228149912651475	-0.318695102052182	-4.94642675723977	-3.62865771467807	-0.131396510816271	-0.0591348792720216	0.0520037022661582	0.00780180241272534	0	1.35796660441039e-117	0.348909835959859	0.697030365712677
7833	4	SNCG	-0.0294882052884359	-4.76855682630248	-0.82663274452702	-0.392711631883513	-0.0241610145517835	-1.17278695000915	0.904335488457915	0	7.02922646491511e-08	0.0918947478524921	0.885845989473661	3.96047240901292e-09
10583	4	UBB	0.10734790886345	-3.54428195637721	-4.02650993228103	-4.3333450743728	-4.02892381735448	-4.05436197894124	0.379650763809386	2.409114476645e-164	2.37285075255908e-210	1.8747962042466e-197	5.69825259661107e-181	1.16970719824226e-165
4467	5	EEF1A1	0.882079517519574	1.34954971159958	1.01211501639327	1.0857389248531	2.05500395127332	2.27145143325152	5.35117520513667e-91	4.09055127420708e-178	4.4168949184221e-102	9.15362803872027e-82	9.13201467598684e-192	7.01762978160969e-194
6149	5	MAL2	-2.65454775453693	0.016083610744805	-0.101215074839457	-0.113760683445666	-1.60000485078769	-4.54270083141047	1.74848748648897e-79	0.817758021346948	0.267818101987749	0.39950425883854	1.02973494412394e-23	5.47498279903008e-232
7466	5	TAGLN	-1.01198070354734	1.1785642265255	-4.8937663600593	-4.51668634628167	-2.72739573724737	-0.987457362408924	4.73945329425599e-09	7.06117536048747e-08	1.13197795955981e-266	4.86334417886195e-188	9.70967703660911e-60	3.5959824090981e-05
8634	5	RPL6	0.67716496832324	2.5476225943377	0.769242392566114	0.668187674548699	1.5931238951484	1.56438538496267	4.94492439528768e-51	0	3.62781763578843e-56	1.20371857168667e-29	3.50251457621954e-120	6.1754111383962e-100
9378	5	MEG3	-0.149875949351195	-0.171840370418283	-4.3998749362701	-3.2073477159043	-0.234248276547279	-0.0631067665573098	0.186735569050531	0.126173805774013	3.90024906210334e-287	1.10982994918911e-83	0.0988381903574524	0.697030365712677
11639	5	WFDC2	-4.40619493454116	0.273599560978012	-0.119827530216505	-0.361064404919731	-0.948456509155348	-4.16645754869156	1.91786266628417e-175	0.003688220452878	0.480078623635175	0.12739928241607	1.15178844576986e-06	1.33884161371673e-110
843	6	S100A4	-0.183668833193253	-3.31821693857668	0.256767334203419	-0.128070678731068	-2.67338222673955	-4.72387922488966	0.375290983866228	1.5238050013617e-113	0.202215747903663	0.688849499643548	1.47023996821357e-55	3.55716616076458e-195
9350	6	IFI27	-1.31999083037506	-6.78557770769737	-5.04231629907709	-3.97246007531431	-2.21227549010925	-3.17200457841487	9.29275076673706e-17	0	5.46736071082528e-239	3.86764467352911e-108	6.9145777304159e-33	2.82559459710727e-61
9544	6	C15orf48	-3.61491399844718	0.042855219324072	-1.75169925404263	-1.21791161939455	-0.0426015590604295	-0.307589830181474	4.17540496846399e-169	0.565230795526748	1.68221625760134e-30	1.24765953750036e-11	0.731482293324202	0.0471398391731983
10775	6	IGFBP4	-0.689899993658978	0.401683083087424	-3.60214457936629	-3.53966863130121	-1.38496422764724	0.953829068598409	1.04883619192275e-07	0.0118245992117727	1.55727623287412e-228	3.15567503465835e-176	6.98107855675532e-22	4.3257716794411e-05
7206	7	CST6	-3.58517407095415	0.0531764772810915	-0.27719737640261	-0.0329243109511693	-0.329694880475648	-2.6235985783352	1.0189026217831e-155	0.202756327974017	0.0101854308265094	0.814266947358227	0.00912996358666072	8.86998152314282e-51
8329	7	KRT81	1.96563399006644	7.59169954376595	5.76200704874597	3.87052060040966	7.08919635787561	6.22427921734911	2.67622238746525e-95	8.85574609059497e-296	3.5441660244937e-245	9.88155615110809e-121	5.43683161100508e-183	2.24701798877472e-144
9539	7	B2M	-0.846295024980496	-3.67230945211332	-2.34760284806628	-1.84642497684746	-1.66913996867563	-1.67099391684353	5.32355536100787e-24	0	4.33746193534492e-177	1.43171562819205e-80	3.06154289889324e-68	2.36083707566383e-58
11731	7	RPS21	0.480680923523892	2.90057783637635	2.13805397403645	1.8996957758455	2.12085863525764	2.22744267125848	1.31949801292279e-26	0	5.23724221839512e-259	6.1477212527427e-156	8.68926769010058e-175	3.77698596621326e-160
6952	8	LDHA	-1.2144337997764	0.322756806982375	-2.52515096190279	-2.47882791126281	-1.89641207198023	-1.48857094454195	4.10940409777676e-50	0.00186272340404378	3.20398187265451e-197	1.23291903131277e-148	1.68036035036783e-88	1.91357816247841e-45
9824	8	ALDH1A3	-2.02645651103646	-0.297808166470884	-4.67830369565006	-3.98164783335933	-0.0821451592122501	-1.92942702403304	1.13653206040941e-42	0.0980993895031453	1.2175582911916e-257	5.90876813694835e-142	0.746612190109663	1.03403664820803e-23
11163	8	ACTG1	0.835519034007545	3.52364242026091	0.559958516830872	0.373101991994418	0.39752208878292	0.756859656969393	2.194274397318e-55	0	8.3086017943786e-24	6.18633277460639e-08	1.71996854964256e-08	7.27042086969488e-23
3185	9	CXCL8	-3.93042417210051	-0.3695704309652	-5.64810342940639	-4.23064258785598	-0.163466673396244	-0.20184364403108	1.3550111828426e-114	0.0566425534196956	2.89431656466057e-250	1.1239730153247e-99	0.51195139684858	0.48562939363117
6674	9	LCN2	-4.10167133441414	0.614729187604419	0.387567163925063	0.614729187604419	-1.86518228831214	-4.55479867326327	3.56129237956954e-153	5.69562657628883e-06	0.0278992162616359	0.00287682170147518	2.46475401951514e-21	2.80613701105267e-141
10784	9	KRT19	-4.54108699702351	-0.796676168025426	-5.37481099127544	-4.56951489939012	-2.42791136048275	-6.21387516955485	5.98055001858404e-115	0.00100278838465297	3.38355175198737e-166	5.76425028688625e-88	8.51991165280808e-21	1.34039035920048e-189
11928	9	RPS28	0.494126111475034	2.18307691067516	1.19093892691513	1.36329051741395	2.03311291656347	2.10475515960042	2.19451047288713e-30	2.93045152486514e-309	2.27575346243526e-124	1.94288827991355e-106	1.03685518133446e-178	8.79195662082982e-162
