	Top	Gene	logFC.vs.2	logFC.vs.3	logFC.vs.4	logFC.vs.5	logFC.vs.6	logFC.vs.7	FDR.vs.2	FDR.vs.3	FDR.vs.4	FDR.vs.5	FDR.vs.6	FDR.vs.7
2367	3	RPSA	0.779716801898409	2.53926147792471	0.713601500439748	0.568729021590319	1.11090611635517	0.993771066020737	4.99473063079746e-62	0	1.04775773653925e-46	4.70571713233162e-21	3.2751762505249e-65	3.00802998750177e-46
1542	4	RPS27A	0.652612230003265	1.45908746911895	1.34328000433576	1.38515712716068	1.8203511536652	1.79181343301492	2.04274880727278e-67	3.10967843232193e-240	9.57820251475829e-196	9.40393822045205e-147	4.71200536670509e-199	1.24205090299828e-172
4467	5	EEF1A1	0.882079517519574	1.34954971159958	1.01211501639327	1.0857389248531	2.05500395127332	2.27145143325152	5.35117520513667e-91	4.09055127420708e-178	4.4168949184221e-102	9.15362803872027e-82	9.13201467598684e-192	7.01762978160969e-194
8634	5	RPL6	0.67716496832324	2.5476225943377	0.769242392566114	0.668187674548699	1.5931238951484	1.56438538496267	4.94492439528768e-51	0	3.62781763578843e-56	1.20371857168667e-29	3.50251457621954e-120	6.1754111383962e-100
8329	7	KRT81	1.96563399006644	7.59169954376595	5.76200704874597	3.87052060040966	7.08919635787561	6.22427921734911	2.67622238746525e-95	8.85574609059497e-296	3.5441660244937e-245	9.88155615110809e-121	5.43683161100508e-183	2.24701798877472e-144
11731	7	RPS21	0.480680923523892	2.90057783637635	2.13805397403645	1.8996957758455	2.12085863525764	2.22744267125848	1.31949801292279e-26	0	5.23724221839512e-259	6.1477212527427e-156	8.68926769010058e-175	3.77698596621326e-160
11163	8	ACTG1	0.835519034007545	3.52364242026091	0.559958516830872	0.373101991994418	0.39752208878292	0.756859656969393	2.194274397318e-55	0	8.3086017943786e-24	6.18633277460639e-08	1.71996854964256e-08	7.27042086969488e-23
11928	9	RPS28	0.494126111475034	2.18307691067516	1.19093892691513	1.36329051741395	2.03311291656347	2.10475515960042	2.19451047288713e-30	2.93045152486514e-309	2.27575346243526e-124	1.94288827991355e-106	1.03685518133446e-178	8.79195662082982e-162
3555	10	RPL37	1.16478147083487	1.25779603115104	1.55352047320286	1.39205456290856	1.29189077694193	1.47477410490505	9.64153193895343e-147	3.01092971880698e-160	1.15832889946443e-199	1.46445936123408e-119	2.39800197028502e-100	6.24974515224714e-107
12123	10	RPL18A	0.509925751946965	2.33167306583957	1.17718849312332	1.2086320874688	0.821769877539472	0.857009947520189	4.25546349768066e-36	0	1.04357200423308e-135	3.72884076095366e-99	1.35126444746111e-48	1.32619484950984e-45
12535	10	RPL13A	0.178620381228789	1.72873243140003	1.14247394666821	1.21133002163379	2.02470122517924	1.91711290151613	7.70742756197502e-05	8.31864833349912e-235	2.95381381909306e-116	1.60543836512469e-89	7.96197750410747e-177	7.10045324955264e-143
12380	12	RPS19	0.547067923542005	1.62246105590663	1.27334984919787	1.4075402980132	1.65126600103292	1.77374907375345	5.13909350213878e-45	1.87708599111624e-260	1.51545075732284e-168	7.05392616423539e-141	1.74542572836947e-162	6.15976393716812e-159
12651	13	RPL28	0.0787190624327361	1.00770964121884	0.973888215513233	1.15654679178484	1.80087456354367	1.67732386207634	0.0938322220670585	3.08030791043115e-114	1.89476916814939e-98	2.22138741636944e-91	5.32264317573886e-165	1.42255211427517e-130
5981	14	RPS20	0.499439531873003	1.33988897401342	1.02318823745139	1.02540498303	2.1704787977824	2.20069115306404	7.58022140694731e-26	2.13762568910788e-135	2.2551896498705e-81	2.85714852956413e-55	3.73610960616638e-164	3.28359288625448e-142
