	Top	Gene	logFC.vs.2	logFC.vs.3	logFC.vs.4	logFC.vs.5	logFC.vs.6	logFC.vs.7	logFC.vs.1	FDR.vs.2	FDR.vs.3	FDR.vs.4	FDR.vs.5	FDR.vs.6	FDR.vs.7	FDR.vs.1
845	1	S100A2	0.960612572289773	5.71197712443626	4.78409202342925	4.80256627210892	3.50927249870441	-3.50927249870441	3.07153757170615	4.73666800020856e-18	4.94086556711411e-203	5.34968040135572e-170	9.7051626074951e-113	2.85728727694159e-94	2.85728727694159e-94	2.68827916438804e-131
5343	1	RARRES2	5.2915758589936	4.8587263299731	5.41934548133066	5.2178787936921	1.55131354749481	-1.55131354749481	5.84100380772651	7.22569490375482e-282	1.02262051266532e-244	6.55368007754096e-254	6.18240901248754e-167	6.8574529363616e-43	6.8574529363616e-43	0
8864	1	TPT1	-7.62099992693812	-6.3109026629281	-7.49646465174808	-7.17202899043928	-1.04365735515923	1.04365735515923	-7.54549834254468	0	1.39508405731403e-297	0	0	0.000275511021253329	0.000275511021253329	0
256	2	IFI6	-0.354467876466276	-5.89287494441009	-1.74958729251229	-1.25781245078981	-0.603295199216817	0.603295199216817	-0.0604659588972012	0.0992381666577752	1.02262051266532e-244	6.11931059093083e-14	2.1840704894051e-06	0.0514852975846997	0.0514852975846997	0.767229102532854
6149	2	MAL2	1.88815307687354	4.55878444215528	4.44148575657102	4.42894014796481	2.94269598062278	-2.94269598062278	4.54270083141047	7.65788035586652e-69	3.26992784158598e-194	8.79573388165479e-180	6.54989491804667e-110	2.84212553133948e-85	2.84212553133948e-85	5.47498279903008e-232
177	3	CAMK2N1	3.15648136186368	4.50430104335289	2.74975414009895	2.43899052383917	1.8434961346796	-1.8434961346796	4.83343408553472	4.97058350536986e-142	1.32188373497519e-189	6.41533744680555e-107	8.56211354525079e-63	6.9920852477921e-46	6.9920852477921e-46	2.04661058387685e-235
543	3	DIRAS3	-0.223960317445234	-1.04862368576876	-5.62117724579731	-5.44109511777935	0.0226820843851084	-0.0226820843851084	-0.470811925885351	0.217170378976459	3.99213343074138e-06	3.66821611040892e-180	6.06356549157241e-154	0.955926763474233	0.955926763474233	0.0155279460896459
890	3	MUC1	4.06221079591978	3.27389319062451	4.08953447974406	4.42952221824432	1.62086144546879	-1.62086144546879	3.48490703923812	2.18485185706343e-177	1.08813725504014e-125	1.45672448780239e-155	1.86786910991565e-104	4.70984089891471e-34	4.70984089891471e-34	3.66539316641934e-158
4545	3	CD24	2.26719090433605	5.48391536076192	5.40516130494708	4.15668016094172	1.36743993830699	-1.36743993830699	2.0308951223447	2.42910315724851e-89	1.42616335237755e-218	1.55286371255017e-206	1.05211437463069e-110	4.09781938988441e-27	4.09781938988441e-27	6.35539001766025e-81
10784	3	KRT19	1.67278817253134	5.41719900152942	0.839064178279416	1.64436027016473	3.7859638090721	-3.7859638090721	6.21387516955485	4.18323489198303e-33	1.26791021871457e-144	4.47422224344176e-09	2.29513704667942e-21	1.66744366518942e-72	1.66744366518942e-72	1.34039035920048e-189
